Index,Loc_cluster,type_category,avg_rating
380,46,Retail_Shopping,3.775
381,46,Tourism,3.85
382,47,,4.96578947368421
383,47,Automotive,4.971428571428570
384,47,Education,4.933333333333330
385,47,Finance,5.0
386,47,Food_Beverage,4.985714285714290
387,47,Healthcare,4.8
388,47,Professional_serv,5.0
389,47,Real_Estate,4.96
390,47,Retail_Shopping,4.916666666666670
391,47,Tourism,4.95
392,48,,4.8
393,48,Automotive,4.9
394,48,Education,4.866666666666670
395,48,Finance,4.925
396,48,Food_Beverage,4.875
397,48,Healthcare,4.88
398,48,Professional_serv,4.7
399,48,Retail_Shopping,4.8
400,48,Tourism,4.866666666666670
401,49,,2.960714285714290
402,49,Automotive,3.0
403,49,Education,2.95
404,49,Finance,2.925
405,49,Food_Beverage,2.9700000000000000
406,49,Healthcare,3.04
407,49,Real_Estate,3.05
408,49,Retail_Shopping,2.875
409,49,Tourism,3.0
410,50,,4.981632653061220
411,50,Automotive,5.0
412,50,Education,4.944444444444450
413,50,Finance,5.0
414,50,Food_Beverage,4.9875
415,50,Healthcare,4.966666666666670
416,50,Professional_serv,5.0
417,50,Real_Estate,4.99
418,50,Retail_Shopping,5.0
419,50,Tourism,5.0
420,51,,4.93
421,51,Automotive,5.0
422,51,Finance,5.0
423,51,Food_Beverage,4.775
424,51,Healthcare,4.957142857142860
425,51,Professional_serv,5.0
426,51,Tourism,4.8
427,52,,4.950000000000000
428,52,Automotive,5.0
429,52,Education,5.0
430,52,Finance,4.95
431,52,Food_Beverage,4.933333333333330
432,52,Healthcare,4.9
433,52,Real_Estate,4.966666666666670
434,52,Retail_Shopping,4.929411764705880
435,52,Tourism,4.9000000000000000
436,53,,3.28
437,53,Automotive,3.3600000000000000
438,53,Finance,3.1571428571428600
439,53,Food_Beverage,3.0
440,53,Healthcare,3.2
441,54,,4.665517241379310
442,54,Finance,4.55
443,54,Food_Beverage,4.7
444,54,Healthcare,4.63
445,54,Real_Estate,4.7
446,54,Retail_Shopping,4.6
447,54,Tourism,4.6090909090909100
448,55,,4.480851063829790
449,55,Automotive,4.4818181818181800
450,55,Education,4.4
451,55,Finance,4.45
452,55,Food_Beverage,4.4523809523809500
453,55,Healthcare,4.4
454,55,Professional_serv,4.4750000000000000
455,55,Retail_Shopping,4.4
456,55,Tourism,4.45
457,56,,3.9750000000000000
458,56,Automotive,4.009090909090910
459,56,Education,4.0
460,56,Finance,4.1
461,56,Food_Beverage,3.9666666666666700
462,56,Healthcare,4.014285714285710
463,56,Professional_serv,4.1
464,56,Real_Estate,4.066666666666670
465,56,Retail_Shopping,3.9666666666666700
466,56,Tourism,3.9846153846153800
467,57,,3.4309523809523800
468,57,Automotive,3.5666666666666700
469,57,Education,3.3857142857142900
470,57,Finance,3.6
471,57,Food_Beverage,3.4419354838709700
472,57,Healthcare,3.414285714285710
473,57,Real_Estate,3.38
474,57,Retail_Shopping,3.4555555555555600
475,57,Tourism,3.45
476,58,,1.675
477,58,Automotive,1.3333333333333300
478,58,Finance,1.3454545454545500
479,58,Food_Beverage,1.625
480,58,Healthcare,2.2
481,58,Retail_Shopping,2.0
482,59,,4.447826086956520
